algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
MT-KaHyPar-D HFC,sat14_6s130-opt.cnf.hgr,no,1,2,0.03,8,0.029274,0.885922,km1,1421,1421,no
MT-KaHyPar-D HFC,sat14_6s130-opt.cnf.hgr,no,2,2,0.03,8,0.0225637,1.13874,km1,1398,1398,no
MT-KaHyPar-D HFC,sat14_6s130-opt.cnf.hgr,no,1,32,0.03,8,0.0298411,2.66587,km1,16799,16712,no
MT-KaHyPar-D HFC,sat14_6s130-opt.cnf.hgr,no,2,32,0.03,8,0.0298411,3.03641,km1,16964,16867,no
MT-KaHyPar-D HFC,sat14_6s130-opt.cnf.hgr,no,1,8,0.03,8,0.0293545,1.85983,km1,6197,6167,no
MT-KaHyPar-D HFC,sat14_6s130-opt.cnf.hgr,no,2,8,0.03,8,0.0294356,2.83407,km1,6086,6067,no
MT-KaHyPar-D HFC,sat14_6s153.cnf.primal.hgr,no,1,2,0.03,8,0.0284193,0.400914,km1,162,162,no
MT-KaHyPar-D HFC,sat14_6s153.cnf.primal.hgr,no,2,2,0.03,8,0.0285127,0.454286,km1,162,162,no
MT-KaHyPar-D HFC,sat14_6s153.cnf.primal.hgr,no,1,32,0.03,8,0.0298842,2.03359,km1,13246,13137,no
MT-KaHyPar-D HFC,sat14_6s153.cnf.primal.hgr,no,2,32,0.03,8,0.0298842,2.03095,km1,12858,12757,no
MT-KaHyPar-D HFC,sat14_6s153.cnf.primal.hgr,no,1,8,0.03,8,0.0299832,1.31622,km1,2704,2697,no
MT-KaHyPar-D HFC,sat14_6s153.cnf.primal.hgr,no,2,8,0.03,8,0.0296096,1.17932,km1,2924,2914,no
MT-KaHyPar-D HFC,sat14_6s9.cnf.hgr,no,1,2,0.03,8,0.0,1.04344,km1,2362,2362,no
MT-KaHyPar-D HFC,sat14_6s9.cnf.hgr,no,2,2,0.03,8,0.0294606,2.89544,km1,2352,2352,no
MT-KaHyPar-D HFC,sat14_6s9.cnf.hgr,no,1,32,0.03,8,0.0298368,1.81993,km1,13964,13823,no
MT-KaHyPar-D HFC,sat14_6s9.cnf.hgr,no,2,32,0.03,8,0.0298368,1.88757,km1,13704,13497,no
MT-KaHyPar-D HFC,sat14_6s9.cnf.hgr,no,1,8,0.03,8,0.0299534,1.23479,km1,6693,6660,no
MT-KaHyPar-D HFC,sat14_6s9.cnf.hgr,no,2,8,0.03,8,0.017366,1.11168,km1,6993,6957,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,1,2,0.03,8,0.0299613,0.736567,km1,1356,1356,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,2,2,0.03,8,0.0269396,0.73505,km1,1364,1364,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,1,32,0.03,8,0.0299523,2.36158,km1,5821,5505,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,2,32,0.03,8,0.0299523,2.98864,km1,5723,5368,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,1,8,0.03,8,0.0299574,2.19927,km1,3004,2933,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,2,8,0.03,8,0.0158298,1.62428,km1,2772,2721,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,1,2,0.03,8,0.0217357,1.80729,km1,412,412,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,2,2,0.03,8,0.00700519,1.15549,km1,367,367,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,1,32,0.03,8,0.0289066,2.32149,km1,2085,1426,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,2,32,0.03,8,0.0266024,2.45804,km1,2025,1391,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,1,8,0.03,8,0.0290682,2.13599,km1,929,901,no
MT-KaHyPar-D HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,2,8,0.03,8,0.0296444,2.06943,km1,972,934,no
