algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-HFC,sat14_6s130-opt.cnf.hgr,no,2,32,0.03,1,0.0298411,40.0594,km1,16771,16657,no
KaHyPar-HFC,sat14_6s130-opt.cnf.hgr,no,1,8,0.03,1,0.0299222,26.5761,km1,6259,6219,no
KaHyPar-HFC,sat14_6s130-opt.cnf.hgr,no,2,8,0.03,1,0.0298411,37.3832,km1,6086,6068,no
KaHyPar-HFC,sat14_6s153.cnf.primal.hgr,no,1,2,0.03,1,0.0257105,8.02895,km1,162,162,no
KaHyPar-HFC,sat14_6s153.cnf.primal.hgr,no,2,2,0.03,1,0.0284193,8.81711,km1,162,162,no
KaHyPar-HFC,sat14_6s153.cnf.primal.hgr,no,1,32,0.03,1,0.0298842,20.8431,km1,12257,12184,no
KaHyPar-HFC,sat14_6s153.cnf.primal.hgr,no,2,32,0.03,1,0.0298842,21.6976,km1,12734,12680,no
KaHyPar-HFC,sat14_6s153.cnf.primal.hgr,no,1,8,0.03,1,0.0299832,12.5977,km1,2797,2793,no
KaHyPar-HFC,sat14_6s153.cnf.primal.hgr,no,2,8,0.03,1,0.0298898,14.3799,km1,2530,2523,no
KaHyPar-HFC,sat14_6s9.cnf.hgr,no,1,2,0.03,1,0.0176297,9.31173,km1,2339,2339,no
KaHyPar-HFC,sat14_6s9.cnf.hgr,no,2,2,0.03,1,0.000203981,9.89281,km1,2337,2337,no
KaHyPar-HFC,sat14_6s9.cnf.hgr,no,1,32,0.03,1,0.0298368,18.1276,km1,13874,13612,no
KaHyPar-HFC,sat14_6s9.cnf.hgr,no,2,32,0.03,1,0.0298368,15.5086,km1,13211,13048,no
KaHyPar-HFC,sat14_6s9.cnf.hgr,no,1,8,0.03,1,0.0298368,9.77969,km1,6594,6557,no
KaHyPar-HFC,sat14_6s9.cnf.hgr,no,2,8,0.03,1,0.0299534,10.968,km1,6728,6693,no
KaHyPar-HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,1,2,0.03,1,0.0194493,3.88058,km1,1268,1268,no
KaHyPar-HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,2,2,0.03,1,0.0129804,5.8932,km1,1364,1364,no
KaHyPar-HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,1,32,0.03,1,0.0299523,16.3213,km1,5485,5206,no
KaHyPar-HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,2,32,0.03,1,0.0299523,11.7411,km1,5668,5387,no
KaHyPar-HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,1,8,0.03,1,0.0173617,6.62622,km1,2795,2747,no
KaHyPar-HFC,sat14_atco_enc1_opt1_10_21.cnf.primal.hgr,no,2,8,0.03,1,0.0299574,8.53144,km1,2829,2779,no
KaHyPar-HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,1,2,0.03,1,0.00129629,7.83173,km1,427,427,no
KaHyPar-HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,2,2,0.03,1,0.0,7.85841,km1,427,427,no
KaHyPar-HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,1,32,0.03,1,0.0284876,68.88,km1,2029,1361,no
KaHyPar-HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,2,32,0.03,1,0.0280687,70.3455,km1,2030,1373,no
KaHyPar-HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,1,8,0.03,1,0.0285969,28.3606,km1,981,881,no
KaHyPar-HFC,sat14_atco_enc1_opt2_10_16.cnf.dual.hgr,no,2,8,0.03,1,0.0280731,31.0596,km1,1018,994,no
